Type,Indicator,Description,Info
URL,2311forget[.]xyz,FIN7,FakeBat C2
URL,2610asdkj[.]online,FIN7,FakeBat C2
URL,2610asdkj[.]site,FIN7,FakeBat C2
URL,2610asdkj[.]top,FIN7,FakeBat C2
URL,2610asdkj[.]xyz,FIN7,FakeBat C2
URL,2610kjhsda[.]online,FIN7,FakeBat C2
URL,2610kjhsda[.]site,FIN7,FakeBat C2
URL,2610kjhsda[.]top,FIN7,FakeBat C2
URL,2610kjhsda[.]xyz,FIN7,FakeBat C2
URL,3010cars[.]online,FIN7,FakeBat C2
URL,3010cars[.]site,FIN7,FakeBat C2
URL,3010cars[.]top,FIN7,FakeBat C2
URL,3010cars[.]xyz,FIN7,FakeBat C2
URL,3010offers[.]online,FIN7,FakeBat C2
URL,3010offers[.]site,FIN7,FakeBat C2
URL,3010offers[.]top,FIN7,FakeBat C2
URL,3010offers[.]xyz,FIN7,FakeBat C2
URL,343-ads-info[.]top,FIN7,FakeBat C2
URL,364klhjsfsl[.]top,FIN7,FakeBat C2
URL,465jsdlkd[.]top,FIN7,FakeBat C2
URL,756-ads-info[.]site,FIN7,FakeBat C2
URL,756-ads-info[.]top,FIN7,FakeBat C2
URL,756-ads-info[.]xyz,FIN7,FakeBat C2
URL,875jhrfks[.]top,FIN7,FakeBat C2
URL,98762341tdgi[.]online,FIN7,FakeBat C2
URL,98762341tdgi[.]site,FIN7,FakeBat C2
URL,98762341tdgi[.]top,FIN7,FakeBat C2
URL,98762341tdgi[.]xyz,FIN7,FakeBat C2
URL,999-ads-info[.]top,FIN7,FakeBat C2
URL,ads-info[.]ru,FIN7,FakeBat C2
URL,ads-info[.]site,FIN7,FakeBat C2
URL,aipanelnew[.]ru,FIN7,FakeBat C2
URL,aipanelnew[.]site,FIN7,FakeBat C2
URL,cdn-ads[.]ru,FIN7,FakeBat C2
URL,cdn-ads[.]site,FIN7,FakeBat C2
URL,cdn-dwnld[.]ru,FIN7,FakeBat C2
URL,cdn-dwnld[.]site,FIN7,FakeBat C2
URL,cdn-new-dwnl[.]ru,FIN7,FakeBat C2
URL,clk-brom[.]ru,FIN7,FakeBat C2
URL,clk-brom[.]site,FIN7,FakeBat C2
URL,clk-brood[.]online,FIN7,FakeBat C2
